material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21103372,C810,C937,2026-01-26,1,net demand for forecast,21103372|C810|C937|2026-01-26|net demand for forecast|041791
21103372,C810,C937,2026-01-26,1,net demand for forecast,21103372|C810|C937|2026-01-26|net demand for forecast|041792
21113405,C816,D767,2026-01-26,5,net demand for safety,21113405|C816|D767|2026-01-26|net demand for safety|041794
21121751,A673,E564,2026-01-26,1,net demand for safety,21121751|A673|E564|2026-01-26|net demand for safety|041796
21121752,C816,D767,2026-01-26,1,net demand for safety,21121752|C816|D767|2026-01-26|net demand for safety|041798
21121756,C816,D767,2026-01-26,4,net demand for safety,21121756|C816|D767|2026-01-26|net demand for safety|041799
21127730,C816,C563,2026-01-26,1,net demand for forecast,21127730|C816|C563|2026-01-26|net demand for forecast|041802
21127730,C816,C563,2026-01-26,1,net demand for forecast,21127730|C816|C563|2026-01-26|net demand for forecast|041803
21127730,C816,C563,2026-01-26,1,net demand for forecast,21127730|C816|C563|2026-01-26|net demand for forecast|041804
21127730,C816,C563,2026-01-26,1,net demand for forecast,21127730|C816|C563|2026-01-26|net demand for forecast|041805
21127730,C816,C563,2026-01-26,1,net demand for forecast,21127730|C816|C563|2026-01-26|net demand for forecast|041806
21127730,C816,C563,2026-01-26,3,net demand for safety,21127730|C816|C563|2026-01-26|net demand for safety|041807
21128067,C810,C937,2026-01-26,1,net demand for safety,21128067|C810|C937|2026-01-26|net demand for safety|041808
21128067,C816,C563,2026-01-26,2,net demand for safety,21128067|C816|C563|2026-01-26|net demand for safety|041810
21128067,C816,E569,2026-01-26,1,net demand for safety,21128067|C816|E569|2026-01-26|net demand for safety|041812
21132758,C810,C937,2026-01-26,5,net demand for safety,21132758|C810|C937|2026-01-26|net demand for safety|041826
21137866,C816,C563,2026-01-26,1,net demand for forecast,21137866|C816|C563|2026-01-26|net demand for forecast|041861
21137866,C816,C563,2026-01-26,1,net demand for forecast,21137866|C816|C563|2026-01-26|net demand for forecast|041862
21137866,C816,C563,2026-01-26,1,net demand for forecast,21137866|C816|C563|2026-01-26|net demand for forecast|041863
21137866,C816,C563,2026-01-26,1,net demand for forecast,21137866|C816|C563|2026-01-26|net demand for forecast|041864
21137866,C816,C563,2026-01-26,1,net demand for forecast,21137866|C816|C563|2026-01-26|net demand for forecast|041865
21139445,C810,C937,2026-01-26,3,net demand for safety,21139445|C810|C937|2026-01-26|net demand for safety|041866
21139445,C816,A672,2026-01-26,3,net demand for forecast,21139445|C816|A672|2026-01-26|net demand for forecast|041874
21139445,C816,A672,2026-01-26,3,net demand for forecast,21139445|C816|A672|2026-01-26|net demand for forecast|041875
21139445,C816,A672,2026-01-26,3,net demand for forecast,21139445|C816|A672|2026-01-26|net demand for forecast|041876
21139445,C816,A672,2026-01-26,3,net demand for forecast,21139445|C816|A672|2026-01-26|net demand for forecast|041877
21139445,C816,A672,2026-01-26,3,net demand for forecast,21139445|C816|A672|2026-01-26|net demand for forecast|041878
21139445,C816,A672,2026-01-26,3,net demand for forecast,21139445|C816|A672|2026-01-26|net demand for forecast|041879
21139445,C816,A672,2026-01-26,4,net demand for forecast,21139445|C816|A672|2026-01-26|net demand for forecast|041880
21141769,C810,C937,2026-01-26,1,net demand for forecast,21141769|C810|C937|2026-01-26|net demand for forecast|041889
21141769,C810,C937,2026-01-26,1,net demand for forecast,21141769|C810|C937|2026-01-26|net demand for forecast|041890
21141769,C810,C937,2026-01-26,1,net demand for forecast,21141769|C810|C937|2026-01-26|net demand for forecast|041891
21141769,C810,C937,2026-01-26,1,net demand for forecast,21141769|C810|C937|2026-01-26|net demand for forecast|041892
21141769,C810,C937,2026-01-26,1,net demand for forecast,21141769|C810|C937|2026-01-26|net demand for forecast|041893
21141769,C810,C937,2026-01-26,1,net demand for forecast,21141769|C810|C937|2026-01-26|net demand for forecast|041894
21141769,C810,C937,2026-01-26,1,net demand for forecast,21141769|C810|C937|2026-01-26|net demand for forecast|041895
21143103,C810,C937,2026-01-26,1,net demand for safety,21143103|C810|C937|2026-01-26|net demand for safety|041906
21148509,A673,E556,2026-01-26,8,net demand for safety,21148509|A673|E556|2026-01-26|net demand for safety|041914
21151196,C816,C563,2026-01-26,1,net demand for forecast,21151196|C816|C563|2026-01-26|net demand for forecast|041967
21151196,C816,C563,2026-01-26,1,net demand for forecast,21151196|C816|C563|2026-01-26|net demand for forecast|041968
